Currency,Name,Price,SHOPEE_Price,SHOPEE_Ref,SHOPEE_Sold,Sold
MYR,Women's Canvas Bag Japanese Department Harajuku Windsuit Messenger Bag Female Korean Students Shoulder Bags,53.22,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,129
MYR,Cute Women Canvas Shopping Bag Stripes Design Ladies' Large Capacity Cloth Handbag Big Tote Eco Friendly Cotton Shoulder Bag,21.55,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,1
MYR,Large Canvas Bag For Women 2022 New Luxury Handbags Vintage Striped Tote Bag Female Portable Ol Business Briefcase Korean Style,63.56,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,700
MYR,Pride BLM Fashion Canvas Shoulder Bag American Africa Handbag Women Shopping Bags Adult Travel Bag Black Lives Matter Totes,22.27,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,2
MYR,2022 New Tote Bags College Style Female Bag Portable Large-Capacity One-shoulder Commuter Shopping Bag Lady,70.53,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,309
MYR,New Fashion Women Large Mask Shopping Bag Canvas Shoulder Bag Home Storage Bag Luxury Handbag Tote Bag,45.8,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,112
MYR,Women Corduroy Shopping Bag Female Canvas Cloth Shoulder Bag Environmental Storage Handbag Reusable Foldable Eco Grocery Totes,22.92,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,500
MYR,Miyahouse Animal Print Canvas Handbag Large Capacity Women Beach Shoulder Bag Dog Design Casual Shopping Bag,21.14,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,3
MYR,Fashion Women Handbag Tropical Green Banana Leaf Plant Canvas Tote Bag Eco Reusable Shopping Bags  AKB01014,30.27,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,2
MYR,Cute Strawberry Tote Bag Aesthetic for School Girls Purses Shopper Designer Handbag Japanese Women Peach Print Eco Shoulder Bags,37.21,12.8,Ready Stock Student Tote Bag  Korean Style Women Print Storage Canvas Shoulder Totebag,500,81
